ID,control,experimental,ns_accu_1_1b,na_accu_1_1b,ns_accu_1_2b,na_accu_1_2b,ns_dp_1_1b,na_dp_1_1b,ns_dp_1_2b,na_dp_1_2b,ns_pRT_1_1b,na_pRT_1_1b,ns_pRT_1_2b,na_pRT_1_2b,ns_accu_2_1b,na_accu_2_1b,ns_accu_2_2b,na_accu_2_2b,ns_dp_2_1b,na_dp_2_1b,ns_dp_2_2b,na_dp_2_2b,ns_pRT_2_1b,na_pRT_2_1b,ns_pRT_2_2b,na_pRT_2_2b,ns_accu_3_1b,na_accu_3_1b,ns_accu_3_2b,na_accu_3_2b,ns_dp_3_1b,na_dp_3_1b,ns_dp_3_2b,na_dp_3_2b,ns_pRT_3_1b,na_pRT_3_1b,ns_pRT_3_2b,na_pRT_3_2b,ns_accu_4_1b,na_accu_4_1b,ns_accu_4_2b,na_accu_4_2b,ns_dp_4_1b,na_dp_4_1b,ns_dp_4_2b,na_dp_4_2b,ns_pRT_4_1b,na_pRT_4_1b,ns_pRT_4_2b,na_pRT_4_2b
LB001,1,0,90.225,90.23333333,85.2,82.25,3.820736379,4.04027076,2.434840052,3.475674112,1.084396667,1.18397,1.649913333,1.166353333,89.19166667,88.25,89.20833333,81.25,3.014461242,4.137920006,3.253969517,3.4095968,1.11645,1.081003333,1.395743333,1.20208,88.18333333,86.23333333,89.20833333,86.24166667,2.632800495,3.202374113,3.253969517,3.535202803,1.372406667,1.147463333,1.10641,1.19762,88.2,85.21666667,89.21666667,86.23333333,2.851496006,2.703990435,3.397319568,3.202374113,1.256573333,1.230136667,1.373846667,1.22474
LB002,1,0,88.25,88.24166667,90.16666667,85.18333333,4.137920006,3.843789408,2.969912113,2.216144541,1.126353333,1.086013333,1.42494,1.598896667,89.225,88.25,88.23333333,88.23333333,3.568099517,4.137920006,3.510960718,3.510960718,0.9436766667,1.02808,1.099963333,1.029983333,89.225,86.23333333,86.21666667,88.19166667,3.568099517,3.202374113,2.812059783,2.737788063,1.028593333,1.02826,1.129106667,1.42806,90.2,85.25,89.21666667,88.23333333,3.380806047,3.721264052,3.397319568,3.510960718,1.027906667,0.9352766667,1.13067,1.224763333
LB004,1,0,80.24166667,85.24166667,80.13333333,79.19166667,3.054554985,3.427133454,1.304292083,1.891862873,0.9188066667,1.029816667,1.359446667,1.220643333,90.23333333,88.24166667,84.15833333,88.21666667,4.04027076,3.843789408,1.841780773,3.120646389,0.8215133333,0.9969,1.47914,1.187956667,86.25,89.25,84.175,82.2,3.829333401,4.414593185,2.025486459,2.189250111,0.6900833333,0.8564466667,1.135343333,1.335803333,87.21666667,90.25,85.2,87.23333333,2.944686252,4.667230048,2.434840052,3.335000582,0.7968533333,0.6809433333,0.8717333333,0.9523866667
LB005,0,1,87.20833333,83.225,88.19166667,78.21666667,2.801336202,2.701730635,2.737788063,2.221543233,1.133283333,1.180206667,1.33915,1.25861,89.24166667,90.21666667,88.24166667,84.23333333,4.120462587,3.64995643,3.843789408,3.002171892,1.111966667,1.158936667,0.9681566667,1.14996,90.25,86.24166667,89.24166667,89.24166667,4.667230048,3.535202803,4.120462587,4.120462587,0.73663,0.93857,0.8099833333,0.8959766667,89.23333333,89.25,89.23333333,88.21666667,3.787633897,4.414593185,3.787633897,3.120646389,0.9241166667,0.76147,0.8350333333,1.183176667
LB006,0,1,90.24166667,88.24166667,85.1,85.2,4.373099449,3.843789408,1.339871715,2.434840052,0.80075,0.9892866667,1.50498,1.477753333,90.24166667,88.23333333,89.20833333,88.21666667,4.373099449,3.510960718,3.253969517,3.120646389,0.8420166667,0.8930233333,0.9745433333,0.91135,89.225,88.23333333,90.25,89.25,3.568099517,3.510960718,4.667230048,4.414593185,0.9778833333,0.7940333333,0.71576,0.5968066667,88.21666667,90.21666667,90.24166667,88.25,3.120646389,3.64995643,4.373099449,4.137920006,0.9526066667,0.95196,0.7891466667,0.7238233333
LB007,0,1,89.20833333,84.19166667,83.10833333,82.13333333,3.253969517,2.228999237,1.252285064,1.431280611,1.138446667,1.25344,1.593006667,1.54252,89.2,86.25,88.15,87.2,3.128169185,3.829333401,2.263221875,2.675535869,1.290086667,0.9060766667,1.404376667,1.17182,89.15833333,87.24166667,85.13333333,85.225,2.627242778,3.667829272,1.676870552,2.874770384,1.436523333,1.11731,1.426453333,1.046343333,86.15,87.21666667,86.11666667,87.16666667,1.95463527,2.944686252,1.617636433,2.264641935,1.425083333,1.185013333,1.42312,1.25558
LB008,1,0,90.21666667,90.25,88.23333333,85.24166667,3.64995643,4.667230048,3.510960718,3.427133454,1.081906667,1.06062,1.137886667,1.054106667,88.24166667,89.23333333,89.20833333,88.225,3.843789408,3.787633897,3.253969517,3.291426338,1.062126667,1.09313,1.346213333,1.166313333,90.25,90.25,89.25,85.25,4.667230048,4.667230048,4.414593185,3.721264052,0.86072,0.94137,0.9595966667,1.338486667,90.23333333,90.25,90.25,86.21666667,4.04027076,4.667230048,4.667230048,2.812059783,0.7970366667,0.7582866667,1.083476667,1.352356667
LB010,1,0,86.19166667,86.19166667,79.14166667,80.175,2.429201458,2.429201458,1.331843587,1.745040862,1.548753333,1.56721,1.68922,1.73027,90.225,89.25,89.15,87.2,3.820736379,4.414593185,2.539895054,2.675535869,1.51728,1.367373333,1.563016667,1.480256667,90.225,89.23333333,85.15833333,87.2,3.820736379,3.787633897,1.933913645,2.675535869,1.275366667,1.358463333,1.504543333,1.41851,90.24166667,89.24166667,90.19166667,86.23333333,4.373099449,4.120462587,3.267098105,3.202374113,1.21848,1.29492,1.313666667,1.248096667
LB011,0,1,89.2,88.225,85.125,78.18333333,3.128169185,3.291426338,1.593218818,1.73369734,1.11274,1.024016667,1.497073333,1.348426667,89.25,90.25,90.21666667,88.24166667,4.414593185,4.667230048,3.64995643,3.843789408,0.8793933333,0.9927566667,1.03858,1.140883333,90.23333333,89.24166667,90.25,90.25,4.04027076,4.120462587,4.667230048,4.667230048,0.8159733333,0.84648,0.6334833333,0.78187,90.23333333,90.25,89.25,90.25,4.04027076,4.667230048,4.414593185,4.667230048,0.7270033333,0.8285133333,0.56867,0.6861033333
LB012,1,0,89.225,88.24166667,88.125,83.18333333,3.568099517,3.843789408,2.009874772,2.043104792,1.147723333,1.096376667,1.602973333,1.509616667,88.2,89.25,89.175,85.24166667,2.851496006,4.414593185,2.810948464,3.427133454,1.171316667,1.02867,1.580633333,1.229506667,88.18333333,88.24166667,89.16666667,87.21666667,2.632800495,3.843789408,2.717275251,2.944686252,1.4663,1.003003333,1.553853333,1.380526667,87.23333333,87.25,88.18333333,88.21666667,3.335000582,3.96195987,2.632800495,3.120646389,1.307763333,1.08875,1.417043333,1.3196
